,Fold selected features,Fold nb of features
Fold 0,"['ACE2', 'ACP5', 'ACTN4', 'ACY1', 'ADAMTS15', 'ALPP', 'AMFR', 'AMY2B', 'ANGPTL2', 'ANGPTL3', 'ANXA3', 'AOC1', 'APEX1', 'BAIAP2', 'BRK1', 'BSG', 'CA5A', 'CCL15', 'CCL20', 'CCL7', 'CD164', 'CD276', 'CD63', 'CDHR1', 'CES2', 'CNTN3', 'CPB1', 'CRTAC1', 'CSTB', 'CTRB1', 'CTRC', 'CTSH', 'DKKL1', 'DLL1', 'DPT', 'DSG2', 'ENPP7', 'FABP1', 'FABP4', 'FASLG', 'FBP1', 'FCAR', 'FCGR2B', 'FCN2', 'FCRL5', 'FGF21', 'FOSB', 'GDF15', 'GFRA2', 'GGT1', 'GGT5', 'GH2', 'GPA33', 'HBQ1', 'HCLS1', 'HDGF', 'HSPG2', 'ICAM1', 'IFNGR1', 'IGF2R', 'IGFBPL1', 'IL11', 'IL17A', 'IL17RA', 'IL1A', 'IL1RAP', 'IL22RA1', 'IL2RB', 'IL33', 'IL5RA', 'ISM1', 'KIR2DL3', 'KLB', 'LGALS1', 'LRP11', 'LRPAP1', 'LRRC25', 'LY96', 'LYPD8', 'MARCO', 'MDGA1', 'MET', 'MUC13', 'MUC16', 'MZB1', 'NCLN', 'NEFL', 'NINJ1', 'NOMO1', 'NOS1', 'NPTN', 'NPTXR', 'PCOLCE', 'PDGFC', 'PDGFRA', 'PLIN1', 'PM20D1', 'PPY', 'PRSS8', 'RASSF2', 'RBP5', 'S100A16', 'SCGN', 'SCP2', 'SIGLEC9', 'SMOC2', 'SMPDL3A', 'SOST', 'SPINK6', 'SPINT1', 'SRP14', 'SSC5D', 'TDGF1', 'TFPI2', 'THPO', 'TIMP3', 'TLR3', 'TMPRSS5', 'TMSB10', 'TNC', 'TNFRSF11A', 'TNFRSF13C', 'TNFRSF4', 'TNFRSF8', 'TP53INP1', 'TPT1', 'WISP1', 'XPNPEP2']",128
Fold 1,"['CCL7', 'MZB1']",2
Fold 2,"['ANGPTL2', 'CRTAC1', 'FOSB', 'IGF2R', 'KIR2DL3', 'LGALS1', 'LRPAP1', 'MDGA1', 'MSR1', 'MUC13', 'MZB1', 'PON3', 'SIGLEC9', 'SRP14', 'TNFRSF8']",15
Fold 3,"['ADAM15', 'ADAMTS13', 'ADAMTS16', 'AMY2A', 'AMY2B', 'AOC1', 'APEX1', 'ATP6V1D', 'BAIAP2', 'BCAN', 'BST1', 'CAPG', 'CASP1', 'CCL15', 'CCL19', 'CCL20', 'CD300E', 'CDH17', 'CDHR1', 'CEACAM3', 'CEACAM5', 'CELA3A', 'CHIT1', 'CHL1', 'CNTN1', 'CPA2', 'CRTAC1', 'CTSH', 'CXCL8', 'DDC', 'DKKL1', 'DPT', 'ENPP7', 'FCGR2B', 'FCRL5', 'FGF21', 'FOSB', 'FUCA1', 'GCG', 'GFRA2', 'GGT1', 'GNLY', 'GPC5', 'HAVCR1', 'HCLS1', 'HLA-DRA', 'HPGDS', 'IFNGR2', 'IGF2R', 'IGFBPL1', 'IL10', 'IL13', 'IL13RA1', 'IL1RAP', 'IL2', 'IL2RA', 'IL33', 'ISM1', 'KCNIP4', 'KLK11', 'KLK12', 'LILRB1', 'LY96', 'MAPT', 'MDGA1', 'MET', 'MILR1', 'MMP13', 'MSLN', 'MTPN', 'MUC13', 'MZB1', 'NCF2', 'NCLN', 'NINJ1', 'NPTN', 'NRP1', 'OMG', 'PCSK9', 'PDGFC', 'PIGR', 'PLAU', 'PM20D1', 'POLR2F', 'QPCT', 'RANGAP1', 'RARRES1', 'RBP2', 'S100P', 'SMOC2', 'SPINK6', 'SPINT1', 'SRP14', 'SSB', 'TDGF1', 'THBS2', 'TMPRSS5', 'TNC', 'TNFRSF4', 'TNFRSF8', 'TNFSF12', 'TSHB', 'XPNPEP2']",103
Fold 4,"['APEX1', 'CCL20', 'CRTAC1', 'LGALS1', 'MDGA1', 'MZB1', 'SSB', 'TFPI2', 'XRCC4']",9
Fold 5,"['CCL7', 'LGALS9']",2
Fold 6,"['ACTN4', 'ADAM15', 'ADAMTS13', 'AMN', 'AMY2A', 'AMY2B', 'AOC1', 'BAIAP2', 'CAMKK1', 'CCL20', 'CD177', 'CD5', 'CDH17', 'CHIT1', 'CLEC4C', 'CNDP1', 'COLEC12', 'CPA2', 'CRTAC1', 'CSTB', 'CTRB1', 'CTSH', 'CXCL13', 'DKKL1', 'EPCAM', 'FABP1', 'FABP4', 'FBP1', 'FCGR2B', 'FCRL5', 'FGF21', 'GFRA2', 'GGT5', 'GH2', 'GPA33', 'HBQ1', 'HCLS1', 'HDGF', 'HLA-DRA', 'HSPG2', 'IGF2R', 'IL11', 'IL18RAP', 'IL33', 'ISLR2', 'JUN', 'KCNIP4', 'KLB', 'KLK1', 'KLK12', 'LAMA4', 'LGALS1', 'LY96', 'LYPD1', 'MARCO', 'MDGA1', 'MET', 'MSR1', 'MUC13', 'MZB1', 'NCLN', 'NDRG1', 'NPTN', 'NPTXR', 'PAEP', 'PDGFC', 'PIGR', 'PLA2G10', 'PLAUR', 'PM20D1', 'PON3', 'PPY', 'PRSS8', 'PSIP1', 'PSPN', 'RANGAP1', 'RARRES1', 'S100A16', 'SELPLG', 'SIGLEC10', 'SIGLEC9', 'SLC39A5', 'SPINT1', 'SRP14', 'SSC5D', 'TDGF1', 'THPO', 'TMPRSS5', 'TMSB10', 'TNC', 'TNFRSF11A', 'TNFRSF13B', 'TNFRSF4', 'TNFRSF8', 'TSLP', 'XPNPEP2']",96
Fold 7,"['ADAM15', 'ANGPTL2', 'APBB1IP', 'B4GAT1', 'BAIAP2', 'CCL20', 'CD5', 'CDHR1', 'CES2', 'COPE', 'CRTAC1', 'CXCL14', 'FCRL5', 'FOSB', 'ICAM4', 'IGF2R', 'IL5', 'KIR2DL3', 'KLK12', 'LEP', 'MDGA1', 'MZB1', 'NFATC3', 'NRP1', 'PCSK9', 'RANGAP1', 'S100A11', 'SIGLEC9', 'SIT1', 'SMOC2', 'SRP14', 'SSB', 'TFRC', 'TMPRSS5', 'TNFRSF13C', 'VEGFD', 'XPNPEP2']",37
Fold 8,"['ACAN', 'ADAM15', 'ADAMTS16', 'ADCYAP1R1', 'ADGRG2', 'AHSP', 'AMY2A', 'AMY2B', 'ANXA3', 'ATP6V1D', 'B4GAT1', 'C4BPB', 'CAMKK1', 'CCL15', 'CCL19', 'CD300LG', 'CD5', 'CD63', 'CDHR1', 'CEACAM5', 'CES2', 'CHIT1', 'CNTN5', 'COLEC12', 'CPA2', 'CPB1', 'CRTAC1', 'CTSH', 'CXCL8', 'DDX58', 'DKK4', 'ENPP7', 'ERBB3', 'ERBB4', 'FABP1', 'FCGR2B', 'FCRL5', 'FOSB', 'GDF15', 'GFOD2', 'GFRA2', 'GGT1', 'GGT5', 'GPA33', 'HLA-DRA', 'HMBS', 'ICAM1', 'ICAM2', 'IFNGR1', 'IFNGR2', 'IGF2R', 'IKZF2', 'IL11', 'IL13', 'IL16', 'IL2RA', 'ILKAP', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLK12', 'KLK14', 'KRT5', 'LAMA4', 'LEFTY2', 'LGALS1', 'LGALS9', 'LILRB1', 'LYPD8', 'MAPT', 'MDGA1', 'MICB_MICA', 'MMP1', 'MUC13', 'MZB1', 'NCAM2', 'NINJ1', 'NPTN', 'NRP1', 'NTRK3', 'PDGFC', 'PLAUR', 'PON3', 'PPY', 'PRTG', 'RAB6B', 'RANGAP1', 'RASSF2', 'RETN', 'SAMD9L', 'SCARB1', 'SIGLEC9', 'SMOC2', 'SPINT1', 'SRP14', 'TDGF1', 'TLR3', 'TMPRSS5', 'TNC', 'TNFRSF11A', 'TNFRSF8', 'TSHB', 'TXLNA', 'WFIKKN1', 'XPNPEP2']",105
Fold 9,"['CCL20', 'GDF15', 'LGALS1', 'LILRB1', 'MZB1', 'PON3']",6
