,Fold selected features,Fold nb of features
Fold 0,"['ACE2', 'ACP5', 'ACTN4', 'ADAMTS15', 'ALDH3A1', 'ALPP', 'ANGPTL3', 'ANXA5', 'BAIAP2', 'BST1', 'CA5A', 'CALB2', 'CCL20', 'CD164', 'CD177', 'CD276', 'CD63', 'CDHR1', 'CES2', 'CLEC4C', 'CPA2', 'CRTAC1', 'CSTB', 'CTSH', 'DKKL1', 'ENPP7', 'FABP1', 'FABP4', 'FASLG', 'FBP1', 'FCAR', 'FCGR2B', 'FCN2', 'FCRL5', 'FGF21', 'GDF15', 'GFRA2', 'GGT1', 'GGT5', 'GH2', 'GPA33', 'GRPEL1', 'HAVCR1', 'HBQ1', 'HCLS1', 'IGF2R', 'IL11', 'IL17A', 'IL17F', 'IL1A', 'IL1RAP', 'IL24', 'IL33', 'IL5RA', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLB', 'LAMA4', 'LGALS1', 'LRP11', 'LRPAP1', 'LY96', 'LYPD1', 'LYPD8', 'MARCO', 'MASP1', 'MDGA1', 'MET', 'MSLN', 'MUC13', 'MZB1', 'NCLN', 'NEFL', 'NINJ1', 'NOMO1', 'NOS1', 'NPTN', 'NPTXR', 'PCOLCE', 'PDGFRA', 'PIGR', 'PLAUR', 'PLIN1', 'PM20D1', 'PPY', 'PRKRA', 'PRSS8', 'S100A16', 'SCARB1', 'SCGN', 'SCP2', 'SIGLEC9', 'SLC39A5', 'SMOC2', 'SMPDL3A', 'SOST', 'SPINT1', 'SRP14', 'SSC5D', 'TDGF1', 'TFPI2', 'THBS2', 'THPO', 'TLR3', 'TMPRSS5', 'TMSB10', 'TNFRSF13B', 'TNFRSF13C', 'TNFRSF4', 'TP53INP1', 'TPT1', 'WFIKKN1', 'XPNPEP2']",114
Fold 1,"['CCL7', 'JUN', 'LGALS1', 'MZB1', 'PON3', 'SDC1', 'TNFRSF8']",7
Fold 2,"['ANGPTL2', 'CASP1', 'CRTAC1', 'FOSB', 'IGF2R', 'KIR2DL3', 'LGALS1', 'LRPAP1', 'MDGA1', 'MSLN', 'MSR1', 'MUC13', 'MZB1', 'PON3', 'SIGLEC9', 'SRP14', 'TNFRSF8']",17
Fold 3,"['ADAM15', 'ADAMTS13', 'AMY2A', 'AMY2B', 'AOC1', 'B4GAT1', 'BAIAP2', 'CAPG', 'CASP1', 'CCL15', 'CCL19', 'CCL20', 'CD5', 'CD63', 'CDH17', 'CEACAM3', 'CEACAM5', 'CELA3A', 'CHIT1', 'CHL1', 'CNTN1', 'CPA2', 'CRTAC1', 'CTRB1', 'CTSH', 'CTSL', 'CXCL13', 'CXCL8', 'DDC', 'DKKL1', 'DPP6', 'DPT', 'DSG4', 'ENPP7', 'FBP1', 'FCGR2B', 'FGF21', 'FOSB', 'FUCA1', 'GFRA2', 'GGT5', 'GNLY', 'GPA33', 'GPC5', 'GZMB', 'HAVCR1', 'HDGF', 'HLA-DRA', 'HPGDS', 'IFNGR2', 'IGF2R', 'IL10', 'IL13', 'IL13RA1', 'IL16', 'IL18RAP', 'IL1RAP', 'IL2', 'IL2RA', 'IL33', 'ISM1', 'KCNIP4', 'KLK11', 'KLK12', 'LILRB1', 'LSP1', 'LTA', 'LY96', 'MDGA1', 'MET', 'MMP13', 'MSLN', 'MUC13', 'MZB1', 'NCF2', 'NCLN', 'NINJ1', 'NPTN', 'NXPH1', 'PCOLCE', 'PCSK9', 'PIGR', 'PON3', 'PPY', 'PRL', 'RANGAP1', 'RARRES1', 'RBP2', 'S100P', 'SDC1', 'SMOC2', 'SPINK1', 'SPINK6', 'SPINT1', 'SPOCK1', 'SRP14', 'TDGF1', 'THBS2', 'THPO', 'TMPRSS5', 'TNC', 'TNFRSF8', 'TNFSF12', 'TSHB', 'VWA1', 'XPNPEP2']",106
Fold 4,"['CCL20', 'CES2', 'CRTAC1', 'HLA-DRA', 'IL22RA1', 'LGALS1', 'MDGA1', 'MZB1', 'NDRG1', 'SSB', 'TFPI2', 'XPNPEP2', 'XRCC4']",13
Fold 5,"['CCL7', 'FBP1', 'LGALS9', 'MZB1', 'NOMO1']",5
Fold 6,"['ACTN4', 'ADAMTS13', 'ADAMTS15', 'AMY2A', 'AMY2B', 'AOC1', 'BAIAP2', 'CAMKK1', 'CCL20', 'CD5', 'CD63', 'CDH17', 'CDHR1', 'CDKN1A', 'CES2', 'CHIT1', 'CNDP1', 'COL6A3', 'CPA2', 'CRTAC1', 'CSTB', 'CTRB1', 'CTSH', 'CXCL13', 'DKKL1', 'ENAH', 'ENPP7', 'FABP4', 'FBP1', 'FCGR2B', 'FCRL5', 'FOSB', 'GFRA2', 'GGT1', 'GGT5', 'GH2', 'GPA33', 'HBQ1', 'HCLS1', 'HDGF', 'HLA-DRA', 'IGF2R', 'IGFBPL1', 'IKBKG', 'IL11', 'IL13', 'IL1A', 'IL33', 'KCNIP4', 'KLB', 'KLK1', 'KLK12', 'LAMA4', 'LGALS1', 'LY96', 'LYPD1', 'MAGED1', 'MCFD2', 'MDGA1', 'MET', 'MMP13', 'MSR1', 'MUC13', 'MZB1', 'NCLN', 'NDRG1', 'NPTN', 'NPTXR', 'OXT', 'PDGFC', 'PIGR', 'PLAUR', 'PM20D1', 'PON3', 'PPY', 'PRKRA', 'PRSS8', 'PSIP1', 'PSPN', 'RANGAP1', 'RARRES1', 'S100A16', 'SELPLG', 'SIGLEC9', 'SLC39A5', 'SPINT1', 'SRP14', 'SSC5D', 'TDGF1', 'THPO', 'TMPRSS5', 'TNFRSF13B', 'TNFRSF4', 'TNFRSF8', 'TSLP', 'VWA1', 'XPNPEP2', 'XRCC4']",98
Fold 7,"['ADAM15', 'ANGPTL2', 'BAIAP2', 'CCL20', 'CD5', 'CES2', 'COPE', 'CRTAC1', 'CXCL14', 'FCAR', 'FCRL5', 'FOSB', 'ICAM4', 'IGF2R', 'IL13', 'IL5', 'KIR2DL3', 'LEP', 'MDGA1', 'MZB1', 'NFATC3', 'NRP1', 'PCSK9', 'RANGAP1', 'SIGLEC9', 'SIT1', 'SMOC2', 'SSB', 'TFRC', 'THPO', 'TMPRSS5', 'TNFRSF13C', 'VEGFD', 'XPNPEP2']",34
Fold 8,"['ACAN', 'ADAM15', 'ADAMTS13', 'ADAMTS16', 'ADGRG2', 'AHSP', 'AMY2A', 'AMY2B', 'ARTN', 'ATP6V1D', 'B4GAT1', 'C4BPB', 'CALB2', 'CASP1', 'CCL15', 'CCL19', 'CD5', 'CD63', 'CDHR1', 'CEACAM5', 'CES2', 'CHIT1', 'CHL1', 'CLEC4G', 'CNTN5', 'CPA2', 'CPVL', 'CRTAC1', 'CTSH', 'CXCL8', 'DKK4', 'DPT', 'DPY30', 'ERBB3', 'ERBB4', 'FCGR2B', 'FOSB', 'GFOD2', 'GGT5', 'GPA33', 'GRN', 'HLA-DRA', 'HMBS', 'IFNGR1', 'IGF2R', 'IL11', 'IL13', 'IL2RB', 'ILKAP', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLK14', 'LAMA4', 'LGALS1', 'LILRB1', 'LY9', 'MAGED1', 'MARCO', 'MDGA1', 'MICB_MICA', 'MILR1', 'MMP1', 'MMP13', 'MUC13', 'MZB1', 'NAMPT', 'NINJ1', 'NOMO1', 'NPTN', 'NRP1', 'NTRK3', 'PDGFC', 'PLAUR', 'PM20D1', 'PON3', 'PRTG', 'PSPN', 'RANGAP1', 'RASSF2', 'SERPINB8', 'SMOC2', 'SPINK1', 'SPINT1', 'TDGF1', 'TLR3', 'TMSB10', 'TNC', 'TNFRSF8', 'TSHB', 'VEGFA', 'WFIKKN1', 'XPNPEP2']",93
Fold 9,"['CCL20', 'FOSB', 'GDF15', 'LGALS1', 'LILRB1', 'MZB1', 'PON3', 'TFPI2']",8
