,Fold selected features,Fold nb of features
Fold 0,[],0
Fold 1,[],0
Fold 2,[],0
Fold 3,['CTSH'],1
Fold 4,"['CCL20', 'CRTAC1']",2
Fold 5,[],0
Fold 6,[],0
Fold 7,['CRTAC1'],1
Fold 8,[],0
Fold 9,[],0
Fold 10,[],0
Fold 11,['MZB1'],1
Fold 12,[],0
Fold 13,[],0
Fold 14,['CCL20'],1
Fold 15,[],0
Fold 16,[],0
Fold 17,[],0
Fold 18,[],0
Fold 19,[],0
Fold 20,['CRTAC1'],1
Fold 21,[],0
Fold 22,[],0
Fold 23,['MDGA1'],1
Fold 24,['MDGA1'],1
Fold 25,['MZB1'],1
Fold 26,[],0
Fold 27,[],0
Fold 28,['CRTAC1'],1
Fold 29,[],0
Fold 30,['MDGA1'],1
Fold 31,['MDGA1'],1
Fold 32,"['CCL20', 'CRTAC1']",2
Fold 33,[],0
Fold 34,[],0
Fold 35,[],0
Fold 36,[],0
Fold 37,[],0
Fold 38,['MDGA1'],1
Fold 39,[],0
Fold 40,[],0
Fold 41,[],0
Fold 42,[],0
Fold 43,[],0
Fold 44,[],0
Fold 45,[],0
Fold 46,[],0
Fold 47,[],0
Fold 48,['MDGA1'],1
Fold 49,[],0
Fold 50,['MDGA1'],1
Fold 51,[],0
Fold 52,"['CRTAC1', 'MZB1']",2
Fold 53,[],0
Fold 54,[],0
Fold 55,['MDGA1'],1
Fold 56,[],0
Fold 57,[],0
Fold 58,['CRTAC1'],1
Fold 59,[],0
Fold 60,['MDGA1'],1
Fold 61,[],0
Fold 62,['CRTAC1'],1
Fold 63,[],0
Fold 64,[],0
Fold 65,[],0
Fold 66,[],0
Fold 67,['CCL20'],1
Fold 68,[],0
Fold 69,[],0
Fold 70,[],0
Fold 71,[],0
Fold 72,['MDGA1'],1
Fold 73,[],0
Fold 74,[],0
Fold 75,[],0
Fold 76,[],0
Fold 77,"['CCL20', 'MZB1']",2
Fold 78,['MDGA1'],1
Fold 79,[],0
Fold 80,[],0
Fold 81,['MZB1'],1
Fold 82,[],0
Fold 83,[],0
Fold 84,[],0
Fold 85,[],0
Fold 86,[],0
Fold 87,[],0
Fold 88,[],0
Fold 89,[],0
Fold 90,['MDGA1'],1
Fold 91,[],0
Fold 92,['MDGA1'],1
Fold 93,[],0
Fold 94,['CCL20'],1
Fold 95,[],0
Fold 96,[],0
Fold 97,[],0
Fold 98,[],0
Fold 99,['MDGA1'],1
