,Fold selected features,Fold nb of features
Fold 0,"['CCL20', 'MZB1', 'PON3']",3
Fold 1,"['BAIAP2', 'CA6', 'CCL20', 'CD1C', 'CXCL8', 'DSG4', 'FOSB', 'JUN', 'MDGA1', 'MZB1', 'PON3', 'S100A16', 'SDC1', 'TNFRSF8']",14
Fold 2,"['CRTAC1', 'FOSB', 'MDGA1', 'MZB1', 'PON3', 'SIGLEC9', 'TNFRSF8']",7
Fold 3,"['CPA2', 'CTSH', 'DSG4', 'MZB1']",4
Fold 4,"['CCL20', 'CRTAC1', 'LGALS1', 'MZB1', 'TFPI2']",5
Fold 5,"['CCL20', 'CRTAC1', 'CTSH', 'FBP1', 'MDGA1', 'MZB1', 'NOMO1']",7
Fold 6,"['CCL20', 'CHIT1', 'CTSH', 'CXCL13', 'MUC13', 'MZB1', 'NDRG1', 'PON3', 'TNFRSF8']",9
Fold 7,"['CCL20', 'CRTAC1', 'MDGA1', 'MZB1', 'SSB']",5
Fold 8,"['LGALS1', 'MZB1', 'TNFRSF8']",3
Fold 9,"['CCL20', 'FOSB', 'LGALS1', 'LILRB1', 'MZB1', 'PON3']",6
Fold 10,"['CCL20', 'FOSB', 'GNLY', 'MDGA1', 'MZB1', 'PON3']",6
Fold 11,"['CCL20', 'CCL7', 'CNTN1', 'CRTAC1', 'CXCL8', 'FBP1', 'FOSB', 'LGALS1', 'LILRB1', 'MDGA1', 'MZB1', 'PON3', 'SSB', 'TFPI2', 'TNFRSF8', 'XPNPEP2']",16
Fold 12,"['C19orf12', 'CA6', 'CD74', 'CEACAM5', 'CTSH', 'CXCL8', 'DSG4', 'FBP1', 'FOSB', 'GPA33', 'HPGDS', 'IL16', 'KIR2DL3', 'LEP', 'LGALS1', 'LGALS9', 'MDGA1', 'MZB1', 'NOMO1', 'POLR2F', 'PON3', 'SDC1', 'SPINT1', 'SRP14', 'TNC', 'TNFRSF8', 'VWF']",27
Fold 13,"['CCL20', 'CRTAC1', 'FABP4', 'FBP1', 'HLA-DRA', 'IL2RA', 'LGALS1', 'LY96', 'MDGA1', 'MZB1', 'PON3', 'S100A16', 'TMPRSS5']",13
Fold 14,"['CCL20', 'CTSH', 'CXCL8', 'DSG4', 'FOSB', 'LGALS1', 'MDGA1', 'MZB1']",8
Fold 15,"['ANGPTL2', 'CCL20', 'CRTAC1', 'FCAR', 'LGALS1', 'PON3', 'TNFRSF8']",7
Fold 16,"['CCL20', 'CES2', 'CXCL8', 'FABP4', 'FOSB', 'LGALS1', 'MDGA1', 'MSLN', 'MZB1', 'PON3', 'TFPI2']",11
Fold 17,"['CPA2', 'CTSH', 'DSG4', 'MDGA1', 'MZB1', 'SDC1']",6
Fold 18,"['ADGRG2', 'CCL15', 'CDCP1', 'CEACAM5', 'CRTAC1', 'CTSH', 'FBP1', 'FOSB', 'LGALS9', 'MDGA1', 'MZB1', 'PON3', 'S100A16', 'TNFRSF8']",14
Fold 19,"['CCL20', 'CRTAC1', 'JUN', 'LGALS1', 'MZB1', 'S100A16']",6
Fold 20,"['CCL20', 'CRTAC1', 'MZB1']",3
